url,name,price,rating,reviews,description,asin,manufacturer
https://aax-eu.amazon.in/x/c/RB6CCnE9CQNsHzci_tQ7Z5IAAAGGDgeoTAMAAAH2AQBOL0EgICAgICAgICAgICBOL0EgICAgICAgICAgICArG1cE/https://www.amazon.in/dp/B01NAZVN8M?pd_rd_i=B01NAZVN8M&pf_rd_p=93240040-7510-4cf9-a1aa-e295d190738a&pf_rd_r=AGKQTQ9DQ4A0SP5H3T37&pd_rd_wg=co9uy&pd_rd_w=9lpit&pd_rd_r=dcef6c42-adae-45d6-a555-ee7e8842ddf2,"Sirona Sanitary Disposable Bags - 75 Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner and Personal Hygiene Waste",₹223,4.5 out of 5 stars,,"Now Bigger & Better! Worried about disposing your Sanitary & Intimate Products? Made in India, 'I Love Clean' by SIRONA are Cute Oxo BioDegradable Disposable Sanitary Bags & are best for Hygienic Disposal of Intimate Care Products (Sanitary Pads, Tampons, Panty Liners, Baby Diapers, Condoms, PeeBuddy) or General products (which need discreet disposal). No More Black Plastic Bags, No More Newspaper. Now use I LOVE CLEAN. The bags are tear resistant and seal perfectly to ensure zero bad odour or leakage.",,Visit the Sirona Store
/RBB-HUB-Black-Leather-Sling/dp/B082G8KPD2/ref=sr_1_246?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-246,"RBB HUB Black Leather Gym Bag Gym Bag (Black, Sling Bag)",₹229,5.0 out of 5 stars,,,,
/F-Gear-Burner-Art-Lthr-Laptop-Backpack/dp/B085QWJVCZ/ref=sr_1_247?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-247,F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),₹891,4.4 out of 5 stars,,,,
/Crafts-My-Dream-Womens-CMD2904/dp/B0100BD0IW/ref=sr_1_248?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-248,CRAFTS MY DREAM Women's Cross Body (Multicolor) Rose casual sling Bag,₹299,4.0 out of 5 stars,,,,
/American-Tourister-Polyester-Litres-Backpack/dp/B0BS18YH77/ref=sr_1_249?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-249,American Tourister Polyester 30 Litres Black laptop Backpack,"₹2,240",,,,,
/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_250?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-250,"POLESTAR Space 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",₹549,4.0 out of 5 stars,,,,
/sspa/click?ie=UTF8&spc=MTo4MTk3NDc4NDQyMTg2NDczOjE2NzUyNzI2Mjg6c3BfbXRmOjIwMDc4OTIwNzc5Mzk4OjowOjo&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_251_sspa%3Fkeywords%3Dbags%26qid%3D1675272628%26sprefix%3Dba%252Caps%252C283%26sr%3D8-251-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","₹5,600",4.0 out of 5 stars,,,,
/sspa/click?ie=UTF8&spc=MTo4MTk3NDc4NDQyMTg2NDczOjE2NzUyNzI2Mjg6c3BfbXRmOjIwMTA0MTQwMjYzNDk4OjowOjo&url=%2FLaptop-Backpack-compartments-Office-Business%2Fdp%2FB09MVT5KL3%2Fref%3Dsr_1_252_sspa%3Fkeywords%3Dbags%26qid%3D1675272628%26sprefix%3Dba%252Caps%252C283%26sr%3D8-252-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Urban Tribe Atlas 24L Laptop Backpack for men and women | Fits upto 15.6 inch Laptop | 3 compartments | Office, Business, Casual Use","₹1,798",4.2 out of 5 stars,,,,
/F-Gear-Luxur-V2-Black-Laptop-Backpack/dp/B08QSBD134/ref=sr_1_253?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-253,"F Gear Luxur V2 Black 27 Ltrs Laptop Backpack (3702), one size","₹1,490",3.8 out of 5 stars,,,,
/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV/ref=sr_1_254?keywords=bags&qid=1675272628&sprefix=ba%2Caps%2C283&sr=8-254,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"₹1,181",4.2 out of 5 stars,,,,
